age,position,games_played,games_started,minutes,rebounds,assists,steals,blocks,turnovers,fouls,points,trip_dbl,all_star
23,SG,59,16,959,116,51,35,13,65,81,376,0,0
24,SG,49,49,1205,186,50,50,16,70,121,454,0,0
25,SG,61,56,1578,291,98,59,28,106,147,697,0,0
25,SG,46,46,1205,239,72,53,16,87,116,563,0,0
25,SG,15,10,373,52,26,6,12,19,31,134,0,0
26,SG,29,12,420,59,22,14,13,34,54,111,0,0
27,SG,24,12,441,84,24,20,10,27,56,135,0,0
27,SG,20,12,417,78,22,18,9,24,51,135,0,0
27,SG,4,0,24,6,2,2,1,3,5,0,0,0
28,SG,14,0,204,40,21,6,3,7,26,57,0,0
20,PF,80,71,2802,555,175,79,79,225,199,1494,1,0
21,SF,82,82,2950,581,213,89,76,257,201,1829,0,0
22,SF,50,50,2021,374,172,69,55,186,137,1152,0,0
23,SF,82,82,3223,825,271,89,87,249,244,1663,0,0
24,SF,81,81,3241,735,250,90,77,231,238,1663,0,0
25,PF,77,77,2980,696,239,98,81,250,214,1636,0,1
26,PF,81,81,3087,677,242,87,38,212,240,1608,0,0
27,PF,85,56,2684,639,174,68,37,184,222,1384,0,0
27,PF,53,53,1956,495,127,44,19,131,147,1065,0,0
27,PF,32,3,728,144,47,24,18,53,75,319,0,0
28,PF,54,49,1867,392,111,49,26,117,150,909,0,0
29,PF,72,30,1961,357,149,48,42,108,227,887,0,0
30,C,80,45,2015,398,109,53,40,116,243,793,0,0
31,PF,6,0,51,10,4,1,0,1,9,10,0,0
23,SG,68,6,1055,86,40,37,8,33,114,406,0,0
24,SG,75,8,1134,114,28,38,8,25,124,353,0,0
25,SG,31,2,588,48,20,17,6,14,53,165,0,0
21,PF,32,2,447,125,19,12,17,31,56,188,0,0
23,SG,5,0,35,5,4,1,0,4,4,9,0,0
26,SG,25,0,199,24,12,5,4,7,9,72,0,0
26,SG,7,0,20,2,1,2,1,0,0,9,0,0
26,SG,18,0,179,22,11,3,3,7,9,63,0,0
22,SG,61,8,495,77,13,17,4,22,47,174,0,0
24,SG,12,0,52,7,1,1,1,4,4,11,0,0
22,PF,29,0,342,77,11,13,15,17,53,116,0,0
23,SF,63,0,847,216,28,23,26,30,122,171,0,0
23,SF,7,0,61,15,4,4,3,2,8,19,0,0
23,SF,56,0,786,201,24,19,23,28,114,152,0,0
24,PF,68,22,1287,301,68,27,22,60,147,398,0,0
25,PF,59,29,876,188,27,29,24,27,103,307,0,0
26,PF,38,1,558,115,18,14,15,21,67,222,0,0
26,PF,6,0,48,8,0,0,0,2,9,13,0,0
26,PF,32,1,510,107,18,14,15,19,58,209,0,0
27,PF,70,8,1359,257,57,33,29,60,149,411,0,0
28,PF,10,0,123,25,8,1,4,4,24,17,0,0
22,PG,34,1,428,60,65,14,5,28,45,108,0,0
24,PG,7,0,18,3,2,0,0,0,1,2,0,0
20,SG,30,0,248,28,16,16,7,14,24,94,0,0
21,SG,2,0,15,2,3,3,0,2,2,7,0,0
20,C,69,19,1368,381,101,32,41,66,138,477,0,0
21,C,82,28,1913,597,184,71,65,121,203,729,0,0
22,PF,72,72,2417,735,368,82,93,204,182,1146,3,1
23,C,30,30,1017,287,164,28,30,89,75,588,1,0
20,C,81,20,1197,332,43,40,57,71,203,265,0,0
21,C,70,67,1771,523,66,38,86,99,222,537,0,0
22,C,80,80,2014,533,62,42,89,84,223,636,0,0
23,C,80,80,2389,613,86,89,78,146,195,905,0,0
24,C,76,76,2487,685,88,92,78,128,215,1056,0,0
25,C,80,80,2669,760,124,117,76,135,204,1108,0,0
26,C,63,63,1680,583,146,51,67,94,122,684,0,0
27,C,29,29,819,267,65,28,19,47,54,238,1,0
21,SF,19,3,194,19,5,1,4,6,13,32,0,0
24,PF,23,0,196,58,10,4,5,9,28,57,0,0
25,PF,8,0,63,22,1,0,2,2,13,21,0,0
26,PF,52,5,713,196,36,18,27,32,80,209,0,0
27,PF,53,12,961,306,38,24,36,39,108,362,0,0
27,PF,25,0,256,88,7,7,15,8,35,57,0,0
27,PF,28,12,705,218,31,17,21,31,73,305,0,0
28,PF,17,0,215,77,15,4,9,9,30,60,0,0
22,SG,75,9,970,137,52,31,8,34,83,276,0,0
23,SG,74,8,1234,134,44,28,13,43,144,363,0,0
24,SG,82,75,2221,252,138,46,30,74,225,724,0,0
25,SG,69,69,2324,251,168,34,31,71,153,867,0,0
26,SG,62,62,2086,197,149,36,13,85,134,943,0,0
27,SF,64,64,2307,239,206,40,11,138,137,1057,0,0
28,SG,73,73,2552,262,248,35,3,146,136,1330,0,0
29,SG,78,72,2502,247,129,41,7,116,167,1035,0,0
29,SG,53,53,1750,180,101,32,5,83,108,771,0,0
29,SG,25,19,752,67,28,9,2,33,59,264,0,0
30,SG,71,57,2371,266,144,25,10,82,142,909,0,0
31,SG,61,45,1580,125,78,21,6,42,104,515,0,0
32,SG,53,3,682,66,30,4,9,21,56,179,0,0
22,SG,32,1,214,21,7,4,3,15,27,69,0,0
23,SG,26,3,165,13,8,0,1,6,17,51,0,0
23,SG,12,3,77,4,4,0,1,3,11,15,0,0
23,SG,14,0,88,9,4,0,0,3,6,36,0,0
24,SG,20,0,97,10,3,1,2,4,17,34,0,0
26,SG,4,0,29,2,1,1,0,4,4,15,0,0
23,PG,12,0,177,19,19,6,0,16,20,70,0,0
24,PG,3,0,19,1,2,1,0,1,3,8,0,0
27,PG,4,0,30,2,1,0,0,5,4,10,0,0
26,PG,3,0,9,1,1,0,0,0,3,5,0,0
25,SG,7,0,22,4,6,2,0,2,4,7,0,0
20,PF,31,4,182,30,3,7,6,12,34,70,0,0
21,C,6,0,30,4,0,1,1,2,5,10,0,0
22,C,34,2,340,78,10,11,19,18,73,143,0,0
22,C,10,2,75,17,2,3,5,1,13,29,0,0
22,C,24,0,265,61,8,8,14,17,60,114,0,0
25,C,56,30,951,277,40,23,46,63,187,328,0,0
26,C,68,8,957,315,47,21,51,69,151,443,0,0
27,C,59,17,861,269,31,19,36,54,134,352,0,0
28,C,39,15,584,177,12,20,22,31,77,207,0,0
23,PF,41,9,540,176,28,17,16,17,96,93,0,0
22,C,12,0,59,14,2,2,2,3,5,6,0,0
23,C,14,0,122,47,3,2,9,5,11,33,0,0
22,C,18,0,142,35,4,5,7,8,30,18,0,0
23,C,26,0,173,48,3,8,16,9,22,57,0,0
